provider_id,N_P_D_S_T_C,R_D_S_T_C,L_E_D_S_T_C,H_E_D_S_T_C,N_P_C_L,R_C_L,L_E_C_L,H_E_C_L,N_P_B_C,R_B_C
370006,17,Not Available,Not Available,Not Available,2941,0.52,0.15,0.89,649,3.92
170110,Not Available,Not Available,Not Available,Not Available,416,0.34,0,0.77,42,4.43
140211,66,116.04,73.45,158.63,7176,0.44,0.13,0.75,1870,7.75
260005,89,105.38,65.65,145.11,7601,0.46,0.17,0.75,2022,2.99
331305,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
391300,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
371303,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
670053,25,89.54,40.21,138.87,1818,0.55,0.16,0.94,527,8.69
400128,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
461303,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
381319,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
140181,12,Not Available,Not Available,Not Available,4175,0.23,0,0.58,318,4.35
100314,Not Available,Not Available,Not Available,Not Available,145,0.34,0,0.77,8,Not Available
451331,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
380005,9,Not Available,Not Available,Not Available,976,0.42,0.01,0.83,374,4.79
271345,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
121306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
500148,Not Available,Not Available,Not Available,Not Available,636,0.33,0,0.76,361,3.57
230217,21,Not Available,Not Available,Not Available,2941,0.54,0.15,0.93,858,2.27
390263,112,137.66,101.87,173.45,11076,0.58,0.31,0.85,2457,7.85
400098,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
191311,,,,,,,,,,
230019,410,73.54,50.1,96.98,27664,0.32,0.12,0.52,7420,7.83
50492,55,95.76,52.31,139.21,2958,0.32,0,0.69,950,5.15
210034,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
230013,24,Not Available,Not Available,Not Available,1845,0.38,0,0.77,342,2.97
520021,58,145.21,99.39,191.03,7930,0.24,0,0.55,2033,5.3
141343,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
450348,Not Available,Not Available,Not Available,Not Available,707,0.34,0,0.77,Not Available,Not Available
360096,20,Not Available,Not Available,Not Available,3943,0.31,0,0.66,350,3.59
450851,34,119.58,70.36,168.8,2209,0.35,0.02,0.68,1435,2.9
420089,36,97.84,47.96,147.72,2659,0.36,0,0.75,1103,3.28
50737,80,126.04,86.7,165.38,5826,0.26,0,0.55,1230,2.49
110026,5,Not Available,Not Available,Not Available,960,0.32,0,0.75,70,4.24
161375,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180048,100,115.58,75.3,155.86,7428,0.42,0.11,0.73,1622,3.48
361322,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
51318,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
530006,11,Not Available,Not Available,Not Available,1516,0.28,0,0.67,409,3.03
530011,10,Not Available,Not Available,Not Available,977,0.32,0,0.75,131,5.17
180038,183,105.94,72.8,139.08,15375,0.44,0.2,0.68,4408,8.89
50072,90,70.19,30.72,109.66,6314,0.51,0.22,0.8,1705,2.43
100113,670,125.82,106.77,144.87,20154,0.49,0.27,0.71,8022,4.53
450192,9,Not Available,Not Available,Not Available,1794,0.31,0,0.72,123,5.3
111335,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
310040,26,121.73,72.28,171.18,4534,0.22,0,0.57,607,6.62
260027,171,145.19,113.73,176.65,8919,0.36,0.09,0.63,2814,6.66
461310,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
281312,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
310120,Not Available,Not Available,Not Available,Not Available,1128,0.32,0,0.73,72,5.66
450052,Not Available,Not Available,Not Available,Not Available,949,0.32,0,0.75,46,4.3
170068,9,Not Available,Not Available,Not Available,1018,0.31,0,0.72,244,3.34
330211,15,Not Available,Not Available,Not Available,2444,0.3,0,0.65,296,3.07
390027,181,131.34,98.69,163.99,10974,0.18,0,0.45,2742,12.37
281328,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
330027,44,158.88,117.07,200.69,7117,0.68,0.39,0.97,718,6.16
230021,163,78.3,45.41,111.19,13110,0.31,0.06,0.56,4016,2.15
100084,271,108.32,79.14,137.5,16732,0.42,0.18,0.66,5900,4.12
341311,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
330153,108,162.87,125.38,200.36,12679,0.38,0.13,0.63,3446,3.36
150157,47,97.46,50.73,144.19,2576,0.25,0,0.62,1494,3.86
330393,296,108.43,82.66,134.2,17538,0.36,0.14,0.58,5585,11.35
120019,5,Not Available,Not Available,Not Available,891,0.3,0,0.71,151,3.37
190054,23,Not Available,Not Available,Not Available,3789,0.3,0,0.65,723,4.25
370047,111,137.89,99.04,176.74,6636,0.45,0.16,0.74,1845,3.01
510082,14,Not Available,Not Available,Not Available,1652,0.4,0,0.81,230,3.47
140095,16,Not Available,Not Available,Not Available,2618,0.26,0,0.63,296,3.16
340047,475,171.52,148.9,194.14,25895,0.23,0.05,0.41,8843,5.18
431322,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
271342,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
151310,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
361332,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
241315,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
140223,222,92.14,62.15,122.13,20726,0.36,0.14,0.58,5624,9.64
281321,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
503300,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
200034,38,101.81,54.06,149.56,3555,0.49,0.12,0.86,1126,3.79
280077,49,114.06,67.55,160.57,3932,0.3,0,0.65,1265,4.17
180141,163,146.54,112.69,180.39,7330,0.69,0.38,1,2126,4.17
150089,179,128.27,95.99,160.55,14233,0.28,0.04,0.52,4255,2.8
180004,15,Not Available,Not Available,Not Available,1939,0.39,0,0.8,260,3.35
361333,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
360123,78,103.96,62.84,145.08,10702,0.4,0.15,0.65,2259,4.06
251320,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
100181,43,98.96,53.43,144.49,6106,0.41,0.08,0.74,715,4.02
50257,Not Available,Not Available,Not Available,Not Available,1362,0.31,0,0.72,83,4.33
220002,118,98.16,62.02,134.3,9722,0.41,0.12,0.7,2053,4.88
360359,3,Not Available,Not Available,Not Available,500,0.43,0.02,0.84,75,4.16
171373,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
510059,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
450654,Not Available,Not Available,Not Available,Not Available,1499,0.31,0,0.72,24,Not Available
160040,9,Not Available,Not Available,Not Available,1010,0.31,0,0.72,293,2.88
330403,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170120,45,109.45,62.49,156.41,2646,0.46,0.07,0.85,1148,2.13
340131,123,110.47,73.33,147.61,13545,0.31,0.07,0.55,4039,4.17
130049,126,96,59.43,132.57,7527,0.4,0.11,0.69,2741,2.55
501328,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
61312,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
450880,Not Available,Not Available,Not Available,Not Available,664,0.33,0,0.76,636,2.5
250049,Not Available,Not Available,Not Available,Not Available,1355,0.32,0,0.75,Not Available,Not Available
22009F,,,,,,,,,,
23012F,,,,,,,,,,
283301,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
450372,26,116.7,67.07,166.33,2829,0.34,0,0.71,666,5.43
291304,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
100187,103,110.92,70.45,151.39,13676,0.16,0,0.41,3349,5.3
490037,16,Not Available,Not Available,Not Available,3108,0.26,0,0.63,219,5.17
131308,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
250001,225,140.74,110.4,171.08,10644,0.44,0.19,0.69,4208,8.55
171307,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
670023,22,Not Available,Not Available,Not Available,2809,0.24,0,0.61,592,3.87
50075,89,112.19,73.01,151.37,7681,0.21,0,0.5,2328,4.51
61326,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
240002,272,113.58,85.75,141.41,12808,0.23,0,0.47,5809,2.54
171356,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
420020,32,133.58,84.13,183.03,5389,0.5,0.19,0.81,961,4.01
51311,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
220162,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
111304,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
310119,171,132.7,101.93,163.47,6193,0.35,0.04,0.66,1858,7.65
400121,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
281320,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
520113,33,115.34,67.3,163.38,3854,0.3,0,0.65,613,4.27
330224,25,115.8,66.62,164.98,3516,0.3,0,0.65,1002,3.87
250128,Not Available,Not Available,Not Available,Not Available,1910,0.31,0,0.72,18,Not Available
110183,12,Not Available,Not Available,Not Available,1408,0.3,0,0.71,184,5.97
260004,Not Available,Not Available,Not Available,Not Available,422,0.34,0,0.77,Not Available,Not Available
471305,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
200040,13,Not Available,Not Available,Not Available,2346,0.3,0,0.71,230,3.26
390146,12,Not Available,Not Available,Not Available,2137,0.38,0,0.77,355,4.67
450340,55,92.9,47.35,138.45,4908,0.27,0,0.6,1451,2.65
180105,3,Not Available,Not Available,Not Available,2360,0.3,0,0.71,53,4.45
521346,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
140114,102,126.44,88.04,164.84,10114,0.23,0,0.5,2313,4.28
440001,5,Not Available,Not Available,Not Available,1393,0.42,0.01,0.83,179,3.77
450865,Not Available,Not Available,Not Available,Not Available,277,0.34,0,0.77,58,4.24
161323,,,,,,,,,,
390321,Not Available,Not Available,Not Available,Not Available,353,0.34,0,0.77,340,3.19
460039,Not Available,Not Available,Not Available,Not Available,171,0.34,0,0.77,25,4.51
381323,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
450848,20,Not Available,Not Available,Not Available,1623,0.4,0,0.81,484,3.83
220063,58,99.72,56.46,142.98,7168,0.24,0,0.55,1528,3.4
120026,41,127.37,81.84,172.9,4328,0.31,0,0.66,1059,2.36
111331,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170195,8,Not Available,Not Available,Not Available,457,0.33,0,0.76,438,3.05
440151,26,118.03,68.11,167.95,3046,0.42,0.05,0.79,301,5.33
450856,4,Not Available,Not Available,Not Available,738,0.33,0,0.76,720,3.67
100018,342,107.45,80.64,134.26,27459,0.61,0.43,0.79,9524,6.58
490077,90,95.77,57.28,134.26,10254,0.13,0,0.4,3021,2.77
100258,157,87.09,55.77,118.41,17302,0.14,0,0.36,4903,4.1
670052,Not Available,Not Available,Not Available,Not Available,877,0.33,0,0.76,101,4.19
220077,384,128.87,105.72,152.02,22508,0.12,0,0.32,8021,3.3
291302,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
160033,282,117.47,86.99,147.95,15479,0.12,0,0.34,5924,2.26
340166,24,Not Available,Not Available,Not Available,3209,0.34,0,0.71,582,3.89
50359,10,Not Available,Not Available,Not Available,3206,0.25,0,0.62,339,3.25
150011,38,104.69,56.14,153.24,4401,0.28,0,0.63,1006,4.47
360112,228,103.13,73.97,132.29,13426,0.37,0.15,0.59,4518,14.61
51332,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
340151,22,Not Available,Not Available,Not Available,6988,0.28,0,0.61,1155,3.41
170145,39,105.03,57.97,152.09,2799,0.44,0.07,0.81,430,4.74
451371,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
440033,Not Available,Not Available,Not Available,Not Available,2089,0.4,0,0.81,24,Not Available
330225,12,Not Available,Not Available,Not Available,3891,0.23,0,0.58,289,5.08
390324,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
51327,,,,,,,,,,
250136,Not Available,Not Available,Not Available,Not Available,153,0.34,0,0.77,152,4.15
251318,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
460033,Not Available,Not Available,Not Available,Not Available,242,0.34,0,0.77,Not Available,Not Available
110039,20,Not Available,Not Available,Not Available,3150,0.25,0,0.62,1032,2.68
450272,42,85.87,40.83,130.91,3930,0.47,0.12,0.82,747,7.03
50767,Not Available,Not Available,Not Available,Not Available,292,0.33,0,0.76,34,4.04
100307,56,129.71,85.43,173.99,5681,0.2,0,0.53,1607,4.51
351329,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
440047,Not Available,Not Available,Not Available,Not Available,587,0.33,0,0.76,11,Not Available
131323,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190184,Not Available,Not Available,Not Available,Not Available,602,0.33,0,0.76,34,4.53
451346,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
50073,49,101.71,58.32,145.1,4823,0.26,0,0.59,1272,2.13
400004,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
110002,23,Not Available,Not Available,Not Available,2935,0.44,0.07,0.81,542,2.45
50397,Not Available,Not Available,Not Available,Not Available,341,0.34,0,0.77,Not Available,Not Available
181303,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
150084,421,96.19,72.79,119.59,21301,0.28,0.08,0.48,8620,3.11
50067,3,Not Available,Not Available,Not Available,781,0.42,0.01,0.83,117,4
520208,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
220074,265,98.91,69.57,128.25,34052,0.13,0,0.31,6649,3.36
70034,86,110.38,70.47,150.29,9494,0.22,0,0.49,2252,3.06
330160,185,133.95,103.39,164.51,22567,0.2,0,0.4,4847,12.82
501308,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
141335,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
410011,47,139.9,95.11,184.69,4314,0.53,0.2,0.86,694,3.67
370036,Not Available,Not Available,Not Available,Not Available,841,0.33,0,0.76,Not Available,Not Available
160083,385,110.58,86.69,134.47,22662,0.43,0.23,0.63,8024,4.46
340042,25,122.14,72.81,171.47,5115,0.38,0.03,0.73,589,3.57
351328,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
130014,36,109.47,63.02,155.92,2892,0.24,0,0.61,661,3.55
281344,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
50295,77,101.58,60.97,142.19,4976,0.41,0.08,0.74,1404,2.34
131327,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180009,370,112.71,88.25,137.17,20099,0.23,0.01,0.45,7233,2.68
50191,59,104.4,61.04,147.76,5280,0.32,0,0.65,1063,2.84
371320,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
261304,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
450484,53,95.74,50.8,140.68,4582,0.36,0.01,0.71,1273,3.49
161329,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
140019,Not Available,Not Available,Not Available,Not Available,1217,0.33,0,0.76,Not Available,Not Available
111306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
260147,Not Available,Not Available,Not Available,Not Available,532,0.34,0,0.77,Not Available,Not Available
450669,39,122.12,75.59,168.65,4684,0.22,0,0.57,936,5.04
670029,Not Available,Not Available,Not Available,Not Available,213,0.34,0,0.77,169,3.94
400006,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
310024,69,124.54,83.01,166.07,7374,0.22,0,0.49,1184,5.46
200031,7,Not Available,Not Available,Not Available,1883,0.39,0,0.8,188,3.37
490084,8,Not Available,Not Available,Not Available,2038,0.29,0,0.7,283,3.65
521310,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
161359,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
500001,120,89.74,54.01,125.47,7273,0.39,0.12,0.66,2445,7.44
340040,439,143.04,119.01,167.07,28266,0.46,0.28,0.64,10096,4.14
100167,5,Not Available,Not Available,Not Available,1619,0.47,0.08,0.86,166,4.91
150167,19,Not Available,Not Available,Not Available,1485,0.32,0,0.73,1464,3.4
390097,52,94.3,49.73,138.87,7698,0.17,0,0.48,1522,5.28
161316,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
140084,80,120.79,78.65,162.93,8796,0.3,0.01,0.59,1604,6.69
120022,71,115.45,75.82,155.08,4704,0.36,0.05,0.67,1790,4.97
451372,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
110187,18,Not Available,Not Available,Not Available,1363,0.31,0,0.72,350,6.83
200018,17,Not Available,Not Available,Not Available,2281,0.35,0,0.74,487,3.86
270074,Not Available,Not Available,Not Available,Not Available,470,0.33,0,0.76,9,Not Available
190044,25,106.74,56.39,157.09,2684,0.28,0,0.67,423,3.08
450809,115,140.95,102.4,179.5,8597,0.48,0.21,0.75,2881,2.87
351335,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
510029,73,167.16,124.82,209.5,6612,0.34,0.05,0.63,1591,5.98
371333,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
371304,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
340068,63,106.85,63.98,149.72,5292,0.33,0,0.66,1094,3.93
330023,103,130.16,93.82,166.5,15312,0.3,0.05,0.55,2814,2.55
170014,Not Available,Not Available,Not Available,Not Available,1369,0.31,0,0.72,149,3.96
50516,147,122.12,88.25,155.99,10905,0.3,0.03,0.57,2845,2.91
260102,3,Not Available,Not Available,Not Available,1507,0.32,0,0.73,191,3.66
180053,Not Available,Not Available,Not Available,Not Available,1663,0.31,0,0.72,84,4.26
50039,136,129.39,94.7,164.08,12674,0.24,0,0.48,4223,2.89
450018,119,131.85,95.49,168.21,6034,0.32,0,0.65,1895,5.51
161309,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
